Date,kospi,sp500,capped_kospi,capped_sp500,buy_sp500,sell_sp500,VaR_sp500,Change_sp500,buy_kospi,sell_kospi,VaR_kospi,Change_kospi,rf,portfolio,equity_sp500,equity_kospi,cash
01/09/2009,-0.543767319991777,-1.4046997687822032,0.0,0.0,False,False,0.0,-0.023399999999999997,False,False,0.0,-0.022799999999999997,9.682344187411651e-05,1.0,0.0,0.0,1.0
01/12/2009,-0.6271064429166658,-1.5222888449820866,0.0,0.0,True,False,0.0,-0.019799999999999998,False,False,0.0,-0.020499999999999997,9.291682097734011e-05,1.0000929168209773,0.0,0.0,1.0000929168209773
01/13/2009,-0.585230001640945,-1.5184533580151767,0.0,0.0,False,False,0.0,0.0006,False,False,0.0,0.0095,9.057102323084543e-05,1.0001834962597798,0.0,0.0,1.0001834962597798
01/14/2009,-0.4197276117600959,-1.715889526290462,0.0,0.0,False,False,0.0,-0.0331,False,False,0.0,0.0134,9.096208467762601e-05,1.0002744750356598,0.0,0.0,1.0002744750356598
01/15/2009,-0.7631830451976015,-1.6647851423005502,0.0,0.0,False,False,0.0,-0.0006,True,False,0.0,-0.061200000000000004,9.330765410231479e-05,1.0003678083003837,0.0,0.0,1.0003678083003837
01/16/2009,-0.7130616600374369,-1.6119966095657068,0.0,0.0,False,False,0.0,0.011000000000000001,False,False,0.0,0.020499999999999997,9.330765410231479e-05,1.0004611502738157,0.0,0.0,1.0004611502738157
01/20/2009,-0.7343774632920231,-1.8699515060960135,0.0,0.0,False,False,0.0,-0.0501,False,False,0.0,-0.0231,9.447992534150629e-05,1.0005556737686006,0.0,0.0,1.0005556737686006
01/21/2009,-0.9627448284735164,-1.6173763658889788,0.0,0.0,False,False,0.0,0.0382,False,False,0.0,-0.0222,0.00010579427587908974,1.0006615268315837,0.0,0.0,1.0006615268315837
01/22/2009,-0.9309427565982445,-1.68092809761961,0.0,0.0,False,False,0.0,-0.0134,False,False,0.0,0.0127,0.00010384579827982243,1.0007654413266454,0.0,0.0,1.0007654413266454
01/23/2009,-1.0579605081730328,-1.6620456900010616,0.0,0.0,False,False,0.0,-0.0024,False,False,0.0,-0.0232,0.00010306614249411261,1.0008685863602242,0.0,0.0,1.0008685863602242
01/28/2009,-0.7122036947021617,-1.5592086746163554,0.0,0.0,False,False,0.0,0.0384,False,False,0.0,0.0655,9.994600504481532e-05,1.0009686191770057,0.0,0.0,1.0009686191770057
01/29/2009,-0.6296101611010424,-1.7483375610870182,0.0,0.0,False,False,0.0,-0.033,False,False,0.0,0.0083,0.00010072626667101403,1.0010694430090703,0.0,0.0,1.0010694430090703
01/30/2009,-0.6131625017059933,-1.8991731873990867,0.0,0.0,False,False,0.0,-0.024,False,True,0.0,-0.0063,9.877532832303082e-05,1.0011683239719777,0.0,0.0,1.0010694430090703
02/02/2009,-0.8062809444120692,-1.8537539262455662,0.0,0.0,False,False,0.0,-0.0015,False,False,0.0,-0.0154,9.52612494617977e-05,1.0011648061350094,0.0,0.0,1.0011648061350094
02/03/2009,-0.7866530120938308,-1.817140273115706,0.0,0.0,False,False,0.0,0.0125,False,False,0.0,0.016200000000000003,9.877532832303082e-05,1.0012636965174408,0.0,0.0,1.0012636965174408
02/04/2009,-0.6997186535952444,-1.85196211641952,0.0,0.0,False,False,0.0,-0.0021,False,False,0.0,0.0302,9.760431028493777e-05,1.0013614241699529,0.0,0.0,1.0013614241699529
02/05/2009,-0.7998225902770788,-1.743413929923313,0.0,0.0,False,False,0.0,0.013000000000000001,False,False,0.0,-0.0128,9.877532832303082e-05,1.0014603339733954,0.0,0.0,1.0014603339733954
02/06/2009,-0.7109621228012352,-1.5159437159499132,0.0,0.0,False,True,0.0,0.032400000000000005,False,False,0.0,0.0318,9.877532832303082e-05,1.0015592535466862,0.0,0.0,1.0014603339733954
02/09/2009,-0.6503232848930095,-1.6073450823904107,0.0,0.0,False,False,0.0,-0.0032,False,False,0.0,-0.0076,9.213504061444944e-05,1.0015526035619398,0.0,0.0,1.0015526035619398
02/10/2009,-0.5875576362523998,-1.8237560886780255,0.0,0.0,False,False,0.0,-0.043899999999999995,False,False,0.0,-0.0055000000000000005,9.057102323084543e-05,1.001643315206064,0.0,0.0,1.001643315206064
02/11/2009,-0.69768984266739,-1.715677168441451,0.0,0.0,False,False,0.0,0.0054,False,False,0.0,-0.0101,9.017992370452532e-05,1.0017336433238084,0.0,0.0,1.0017336433238084
02/12/2009,-0.7045067761160863,-1.7642169226962647,0.0,0.0,True,False,0.0,0.0048,False,False,0.0,-0.0103,9.057102323084543e-05,1.001824371364889,0.0,0.0,1.001824371364889
02/13/2009,-0.764631422825026,-1.8642443850202917,0.0,0.0,False,False,0.0,-0.018600000000000002,False,False,0.0,0.01,9.52612494617977e-05,1.0019198064062467,0.0,0.0,1.0019198064062467
02/17/2009,-0.8908777610259052,-2.036525104073549,0.0,0.0,False,False,0.0,-0.0421,True,False,0.0,-0.0397,8.900639657349885e-05,1.0020089836778705,0.0,0.0,1.0020089836778705
02/18/2009,-1.0503088286013469,-2.0673935680652726,0.0,0.0,False,False,0.0,-0.0076,False,False,0.0,-0.0163,9.057102323084543e-05,1.0020997366568087,0.0,0.0,1.0020997366568087
02/19/2009,-1.0743574979580668,-2.070096037311964,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0042,9.213504061444944e-05,1.0021920651567453,0.0,0.0,1.0021920651567453
02/20/2009,-1.1996454602010838,-2.0293693914894497,0.0,0.0,False,False,0.0,-0.0128,False,False,0.0,-0.0368,8.939761038329053e-05,1.0022816587325154,0.0,0.0,1.0022816587325154
02/23/2009,-1.0204151737366591,-2.2478191666462997,0.0,0.0,False,False,0.0,-0.0318,False,False,0.0,0.0323,8.978878609111618e-05,1.0023716523859745,0.0,0.0,1.0023716523859745
02/24/2009,-1.1932310405697095,-2.0057516113336726,0.0,0.0,False,False,0.0,0.0319,False,False,0.0,-0.0347,9.057102323084543e-05,1.0024624382121887,0.0,0.0,1.0024624382121887
02/25/2009,-1.1235040982847073,-2.0453742458008866,0.0,0.0,False,False,0.0,-0.009399999999999999,False,False,0.0,0.006,9.487060640056555e-05,1.0025575424315958,0.0,0.0,1.0025575424315958
02/26/2009,-1.157978405374727,-2.0455578049125385,0.0,0.0,False,False,0.0,-0.0125,False,False,0.0,-0.012,9.877532832303082e-05,1.0026565703820123,0.0,0.0,1.0026565703820123
02/27/2009,-1.0250681147004328,-2.251679080494726,0.0,0.0,False,False,0.0,-0.0236,False,False,0.0,0.008,0.00010228633533659881,1.0027591284481978,0.0,0.0,1.0027591284481978
03/02/2009,-1.211221129109377,-2.356899945556352,0.0,0.0,False,False,0.0,-0.0392,False,False,0.0,-0.0406,9.994600504481532e-05,1.0028593502171084,0.0,0.0,1.0028593502171084
03/03/2009,-1.1092261191296782,-2.4778394104432953,0.0,0.0,False,False,0.0,-0.0227,False,False,0.0,0.009899999999999999,0.00010072626667101403,1.002960364495452,0.0,0.0,1.002960364495452
03/04/2009,-1.0328401985822557,-2.4057761522120726,0.0,0.0,False,False,0.0,0.0276,False,False,0.0,0.0331,0.00010189637497504123,1.0030625625208376,0.0,0.0,1.0030625625208376
03/05/2009,-1.0935289865800741,-2.541447456118244,0.0,0.0,False,False,0.0,-0.0318,False,False,0.0,0.0003,9.721389505634725e-05,1.0031600741395255,0.0,0.0,1.0031600741395255
03/06/2009,-1.1417880226204742,-2.512148898037857,0.0,0.0,False,False,0.0,0.0026,False,False,0.0,-0.003,9.760431028493777e-05,1.0032579868866673,0.0,0.0,1.0032579868866673
