Date,Open,High,Low,Close,Adj Close,Volume,Change,trix,buy_signal,sell_signal,rf,rf_loan,VaR,kelly,kelly_ratio,portfolio,equity,cash
01/09/2009,909.9099731445312,911.9299926757812,888.3099975585938,890.3499755859375,890.3499755859375,4716500000,-0.021303029798827477,0.25403858187663747,False,False,9.682344187411651e-05,0.00013662555737004034,-0.07616709580816616,-2.4646610015212373,0.0,1.0,0.0,1.0
01/12/2009,890.4000244140625,890.4000244140625,864.3200073242188,870.260009765625,870.260009765625,4725050000,-0.02256412239141281,-0.002911794181909492,True,False,9.291682097734011e-05,0.00013271893647326394,-0.07616709580816616,-2.5138268833240254,0.0,1.0000929168209773,0.0,1.0000929168209773
01/13/2009,869.7899780273438,877.02001953125,862.02001953125,871.7899780273438,871.7899780273438,5567460000,0.0017580587922576552,-0.20628598866765385,False,False,9.057102323084543e-05,0.00013037313872676926,-0.07616709580816616,-2.5825752045268637,0.0,1.0001834962597798,0.0,1.0001834962597798
01/14/2009,867.280029296875,867.280029296875,836.9299926757812,842.6199951171875,842.6199951171875,5407880000,-0.03345987410426654,-0.45418067325404216,False,False,9.096208467762601e-05,0.00013076420017354984,-0.07616709580816616,-2.7690925714572505,0.0,1.0002744750356598,0.0,1.0002744750356598
01/15/2009,841.989990234375,851.5900268554688,817.0399780273438,843.739990234375,843.739990234375,7807350000,0.0013291817470242329,-0.6318762333303011,False,False,9.330765410231479e-05,0.00013310976959823861,-0.07616709580816616,-2.80181947846497,0.0,1.0003678083003837,0.0,1.0003678083003837
01/16/2009,844.4500122070312,858.1300048828125,830.6599731445312,850.1199951171875,850.1199951171875,6786040000,0.0075615769747268136,-0.6949939713013303,False,False,9.330765410231479e-05,0.00013310976959823861,-0.07616709580816616,-2.7550134509077426,0.0,1.0004611502738157,0.0,1.0004611502738157
01/20/2009,849.6400146484375,849.6400146484375,804.469970703125,805.219970703125,805.219970703125,6375230000,-0.052816102046715274,-0.8707786999498744,False,False,9.447992534150629e-05,0.00013428204083743012,-0.07616709580816616,-2.9999651110385352,0.0,1.0005556737686006,0.0,1.0005556737686006
01/21/2009,806.77001953125,841.719970703125,804.2999877929688,840.239990234375,840.239990234375,6467830000,0.04349124562903017,-0.8591053508344435,False,False,0.00010579427587908974,0.00014559639137501357,-0.07616709580816616,-2.704272365904137,0.0,1.0006615268315837,0.0,1.0006615268315837
01/22/2009,839.739990234375,839.739990234375,811.2899780273438,827.5,827.5,5843830000,-0.015162323124874533,-0.8169501487981058,False,False,0.00010384579827982243,0.00014364791377574626,-0.07616709580816616,-2.8068690127425957,0.0,1.0007654413266454,0.0,1.0007654413266454
01/23/2009,822.1599731445312,838.6099853515625,806.0700073242188,831.9500122070312,831.9500122070312,5832160000,0.005377658256231044,-0.7280336222933117,False,False,0.00010306614249411261,0.00014286825799003644,-0.07616709580816616,-2.713684422523032,0.0,1.0008685863602242,0.0,1.0008685863602242
01/26/2009,832.5,852.530029296875,827.6900024414062,836.5700073242188,836.5700073242188,6039940000,0.005553212391849582,-0.6012455193718576,False,False,0.00010111634064968733,0.00014091845614561116,-0.07616709580816616,-2.664604960751604,0.0,1.0009697905291481,0.0,1.0009697905291481
01/27/2009,837.2999877929688,850.4500122070312,835.4000244140625,845.7100219726562,845.7100219726562,5353260000,0.010925582519593302,-0.43359099769596926,False,False,9.565185453208613e-05,0.00013545397002800996,-0.07616709580816616,-2.579620662152162,0.0,1.0010655351459428,0.0,1.0010655351459428
01/28/2009,845.72998046875,877.8599853515625,845.72998046875,874.0900268554688,874.0900268554688,6199180000,0.03355760738960489,-0.1565095186778626,False,False,9.994600504481532e-05,0.00013974812054073915,-0.07616709580816616,-2.4499142523676793,0.0,1.0011655876469687,0.0,1.0011655876469687
