Date,Close,Change,loan_rate,deposit_rate,rf,trix,buy_signal,sell_signal,VaR,kelly,kelly_ratio,portfolio,equity,cash,Return_Change,Return_Change_3days,Is_Drop,Is_Drop_3days
2020-03-16,2386.1298828125,-0.1198405524039344,0.0001279403670828,1.15832795337667e-05,1.397565467553541e-05,-1.905766882040216,False,False,-0.0123173221779722,-1.5676684060013877,0.0,0.6656597370998218,6.906029112445903,-6.240369375346081,-0.9411078539852991,-1.0310538062510997,True,True
2020-03-12,2480.639892578125,-0.0951126809783365,0.0001665005584428,1.15832795337667e-05,1.4772796467221738e-05,-1.5641291530095591,False,False,-0.0122583733729132,-1.8549955959669957,0.0,0.9410312636655842,7.1795636268746135,-6.238532363209029,-0.7556822796853373,-0.7727515179384836,True,True
2020-03-09,2746.56005859375,-0.0759696974774509,0.0001665005584428,3.5443141822133484e-05,-8.007978618662648e-06,-0.9331219775679734,False,False,-0.0108855261126957,-0.1229070507960097,0.0,1.7137827816040678,7.949200024842081,-6.235417243238013,-0.6545862061020937,-1.1132278755672855,True,True
2020-03-11,2741.3798828125,-0.0488684451312739,0.0001665005584428,1.15832795337667e-05,7.19355363898444e-06,-1.1559033179005074,False,False,-0.0119141499452701,-0.3350750481548005,0.0,1.6967135433509215,7.934207360356136,-6.237493817005214,-0.4086921569205195,-0.67165544435524,True,True
2018-02-05,2648.93994140625,-0.0409792248042282,0.0001760830424664,4.376071762557388e-05,3.306352425447301e-05,-0.3007772242647726,False,False,-0.0037722947474507,19.92260511115187,3.0,2.885960692314309,9.470734074413128,-6.58477338209882,-0.40584636733282586,-0.40555828256472815,True,True
2020-02-27,2978.760009765625,-0.0441632425840791,0.0001856427207342,4.613400739539309e-05,4.797133808187581e-06,-0.9050388195390452,False,False,-0.0091990137061033,1.6904457959554875,1.6904457959554875,2.393444986865497,8.62124207680757,-6.227797089942074,-0.399489644244833,-0.7187199840022553,True,True
2020-03-18,2398.10009765625,-0.0518307627291578,0.0001279403670828,8.3912275348208e-06,3.2270004976409083e-05,-2.021082996102016,False,False,-0.0131953728084784,-1.4780631479593638,0.0,0.6987075020100395,6.940673769800318,-6.241966267790279,-0.3802037777057192,-0.9080600890750814,True,True
2018-02-08,2581.0,-0.037536419758088,0.0001760830424664,4.613400739539309e-05,3.6632422089954986e-05,-0.7164806755018278,False,False,-0.0039724840397191,14.061099924166788,3.0,2.6395765424818105,9.22782893789719,-6.588252395415379,-0.3610484649273933,-0.24638414983249834,True,True
2018-10-10,2785.679931640625,-0.0328642290012785,0.0002046940932751,6.821734496065268e-05,4.7715421805705205e-05,-0.250191744657337,False,False,-0.0063635765510888,7.732525000048335,3.0,3.1640993975483287,10.239686180779165,-7.075586783230836,-0.34940268735961544,-0.37152238692657713,True,True
2018-10-24,2656.10009765625,-0.0308644339777438,0.0002046940932751,7.096924410232575e-05,4.7715421805705205e-05,-0.4020707737888723,False,False,-0.0066966373620162,5.389558054374052,3.0,2.673289285208321,9.763372724848136,-7.090083439639816,-0.3123888961870578,-0.4148685686352951,True,True
2020-03-05,3023.93994140625,-0.0339220770468885,0.0001665005584428,3.5443141822133484e-05,-2.000498165677378e-06,-0.7130277508972822,False,False,-0.0094963973437341,2.2173112005671203,2.2173112005671203,2.518662216233124,8.752003577032655,-6.233341360799531,-0.30834844093822955,-0.1950909529353413,True,True
2020-03-20,2304.919921875,-0.0433595123084619,0.0001279403670828,8.3912275348208e-06,1.5569780069224493e-05,-2.031295823061749,False,False,-0.0141573061645666,-1.7959782836022018,0.0,0.427424543290976,6.670988112165602,-6.243563568874626,-0.3031597190439905,-0.6514867364247827,True,True
2022-05-18,3923.679931640625,-0.0403952607874525,0.0001568951593713,3.187318653585791e-05,2.591620020964136e-05,-0.3513551581218842,False,False,-0.0129615451234751,2.9105433567603063,2.9105433567603063,1.629469353318183,7.015221924075922,-5.385752570757739,-0.2961557450312,-0.18170149404666902,True,True
2020-02-25,3128.2099609375,-0.0302799955650561,0.0001856427207342,4.613400739539309e-05,5.196636428950185e-06,-0.3662529667199703,False,False,-0.0090421609742074,3.554374250768701,3.0,2.828300444775825,9.053785888056462,-6.225485443280636,-0.28386452609192725,-0.28356755081891905,True,True
2015-08-24,1893.2099609375,-0.0394136928664656,0.0001279403670828,2.799024374278148e-06,3.465009261516272e-05,-0.6375762919827147,False,False,-0.0092478759218379,0.9918826959103466,0.9918826959103466,1.8331093866206285,6.854946849832055,-5.021837463211427,-0.28190685354580824,-0.6768458479432182,True,True
2022-04-29,4131.93017578125,-0.0362845071064139,0.0001376151749687,2.7108304539558148e-05,1.8357977840777195e-05,-0.5762745854286903,False,False,-0.0121719062536467,5.505833510243309,3.0,2.012466008275241,7.387556493623393,-5.375090485348152,-0.2788858377523833,-0.07958176175328724,True,False
2022-05-05,4146.8701171875,-0.0356497086098069,0.0001568951593713,2.7902844222715828e-05,2.5518753453912524e-05,-0.32781551819094,False,False,-0.012272698789159,5.308978869379541,3.0,2.0361143521314835,7.414267898815332,-5.378153546683849,-0.2749313083389686,-0.017538139017436283,True,False
2020-03-27,2541.469970703125,-0.0336873525622525,0.0001279403670828,8.3912275348208e-06,-8.000796906104668e-07,-0.2299604831249951,False,False,-0.0153957145367981,-0.5736033662333889,0.0,1.1080617744286334,7.355620384501089,-6.247558610072455,-0.257229031614739,0.27006597562471857,True,False
