Date,Close,Change,loan_rate,deposit_rate,rf,trix,buy_signal,sell_signal,VaR,kelly,kelly_ratio,portfolio,equity,cash,Return_Change,Return_Change_3days,Is_Drop,Is_Drop_3days
2020-03-09,2746.56005859375,-0.0759696974774509,0.0001665005584428,3.5443141822133484e-05,-8.007978618662648e-06,-0.9331219775679734,False,False,-0.0108855261126957,-0.1229070507960097,0.0,1.7137827816040678,7.949200024842081,-6.235417243238013,-0.6545862061020937,-1.1132278755672855,True,True
2020-03-16,2386.1298828125,-0.1198405524039344,0.0001279403670828,1.15832795337667e-05,1.397565467553541e-05,-1.905766882040216,False,False,-0.0123173221779722,-1.5676684060013877,0.0,0.6656597370998218,6.906029112445903,-6.240369375346081,-0.9411078539852991,-1.0310538062510997,True,True
2020-03-18,2398.10009765625,-0.0518307627291578,0.0001279403670828,8.3912275348208e-06,3.2270004976409083e-05,-2.021082996102016,False,False,-0.0131953728084784,-1.4780631479593638,0.0,0.6987075020100395,6.940673769800318,-6.241966267790279,-0.3802037777057192,-0.9080600890750814,True,True
2020-03-12,2480.639892578125,-0.0951126809783365,0.0001665005584428,1.15832795337667e-05,1.4772796467221738e-05,-1.5641291530095591,False,False,-0.0122583733729132,-1.8549955959669957,0.0,0.9410312636655842,7.1795636268746135,-6.238532363209029,-0.7556822796853373,-0.7727515179384836,True,True
2020-02-27,2978.760009765625,-0.0441632425840791,0.0001856427207342,4.613400739539309e-05,4.797133808187581e-06,-0.9050388195390452,False,False,-0.0091990137061033,1.6904457959554875,1.6904457959554875,2.393444986865497,8.62124207680757,-6.227797089942074,-0.399489644244833,-0.7187199840022553,True,True
2015-08-24,1893.2099609375,-0.0394136928664656,0.0001279403670828,2.799024374278148e-06,3.465009261516272e-05,-0.6375762919827147,False,False,-0.0092478759218379,0.9918826959103466,0.9918826959103466,1.8331093866206285,6.854946849832055,-5.021837463211427,-0.28190685354580824,-0.6768458479432182,True,True
2020-03-11,2741.3798828125,-0.0488684451312739,0.0001665005584428,1.15832795337667e-05,7.19355363898444e-06,-1.1559033179005074,False,False,-0.0119141499452701,-0.3350750481548005,0.0,1.6967135433509215,7.934207360356136,-6.237493817005214,-0.4086921569205195,-0.67165544435524,True,True
2020-03-20,2304.919921875,-0.0433595123084619,0.0001279403670828,8.3912275348208e-06,1.5569780069224493e-05,-2.031295823061749,False,False,-0.0141573061645666,-1.7959782836022018,0.0,0.427424543290976,6.670988112165602,-6.243563568874626,-0.3031597190439905,-0.6514867364247827,True,True
2015-08-25,1867.6099853515625,-0.0135219949789724,0.0001279403670828,1.1998207558594487e-06,3.782135029228861e-05,-0.9304537730112954,False,False,-0.0093618070333358,0.7472878504079994,0.7472878504079994,1.7397743340076026,6.762254292947503,-5.0224799589399005,-0.09333505261302588,-0.6106572043897618,False,True
2018-10-11,2728.3701171875,-0.020573007617344,0.0002046940932751,6.821734496065268e-05,4.613400739539309e-05,-0.4485603100562648,False,False,-0.0065622086921236,6.546905650734686,3.0,2.951989924930963,10.029025038982782,-7.077035114051819,-0.21210947261736557,-0.5779934688683754,True,True
